,driverId,raceId,temp,Track Length (km),Turns,Direction,Circuit Type,grid,circuit_lap_count,avg_lap_time_last5,avg_position_last5,avg_stop_last5,avg_fastestRank_last5,avg_fastestLap_last5,stop
19,1,338,21.8,5.278,14,Clockwise,Street,11.0,58,122113.83673469388,3.0,1.0,,,2
37,1,339,29.9,5.543,15,Clockwise,Race,20.0,56,109733.03043631246,4.5,1.5,3.0,47.0,1
54,1,340,17.3,5.451,16,Clockwise,Race,6.0,56,106797.514338494,5.0,1.3333333333333333,3.5,39.5,4
72,1,341,15.1,4.657,14,Clockwise,Race,3.0,66,108686.05093244194,4.25,2.0,2.6666666666666665,30.666666666666668,1
94,1,342,16.2,3.337,19,Clockwise,Street,5.0,78,104384.06574595356,6.2,1.8,2.25,37.75,1
113,1,343,22.8,5.338,14,Anti clockwise,Race,2.0,58,96929.80609132248,6.6,1.8,3.8,43.8,1
135,1,344,18.9,4.361,13,Clockwise,Street,1.0,70,95830.46471201212,5.6,1.6,5.6,45.2,2
157,1,347,16.6,4.574,17,Clockwise,Race,6.0,67,91740.75685486927,4.6,1.8,5.2,51.2,1
179,1,348,22.9,4.381,14,Clockwise,Race,5.0,70,84648.81277171362,5.0,1.2,6.0,61.6,1
201,1,349,10.4,7.004,19,Clockwise,Race,2.0,44,85491.40516301796,6.2,1.2,8.6,54.2,2
244,1,351,28.7,4.94,19,Anti clockwise,Street,3.0,61,92815.02474343753,5.4,1.4,6.8,47.0,1
263,1,352,20.4,5.807,18,Clockwise,Race,8.0,53,98603.95558087598,9.0,1.4,6.4,42.4,1
281,1,353,17.6,5.615,18,Anti clockwise,Race,4.0,55,103138.24625473042,9.8,1.2,7.8,37.0,1
302,1,354,19.2,4.309,15,Anti clockwise,Race,4.0,71,124144.61819502893,9.4,1.2,7.4,32.4,2
326,1,355,26.9,5.281,16,Anti clockwise,Race,2.0,55,121659.58108541471,6.2,1.4,4.8,41.2,1
348,1,841,15.3,5.278,14,Clockwise,Street,2.0,58,119138.3592672329,6.4,1.2,4.8,44.2,2
369,1,842,27.1,5.543,15,Clockwise,Race,2.0,56,113573.3456711738,3.0,1.4,4.4,46.2,4
391,1,843,14.4,5.451,16,Clockwise,Race,3.0,56,114049.85571160505,3.6,2.0,3.6,50.0,3
415,1,844,11.2,5.338,14,Anti clockwise,Race,4.0,58,98044.47428303362,3.4,2.4,3.4,51.2,4
438,1,845,21.7,4.657,14,Clockwise,Race,3.0,66,101071.65951858487,3.4,2.8,4.0,47.6,4
462,1,846,18.6,3.337,19,Clockwise,Street,9.0,78,97312.66618525152,3.4,3.4,4.0,48.6,3
508,1,850,10.7,5.148,15,Clockwise,Race,2.0,60,98731.96088021174,4.2,3.6,3.4,51.2,3
530,1,851,16.5,4.381,14,Clockwise,Race,2.0,70,97126.6849278308,2.8,3.4,2.6,52.2,6
554,1,852,12.0,7.004,19,Clockwise,Race,2.0,44,94777.80635640222,3.4,4.0,2.6,54.8,1
576,1,853,23.6,5.793,11,Clockwise,Race,2.0,53,99616.0575058275,7.0,3.4,5.4,46.8,2
593,1,854,28.9,4.94,19,Anti clockwise,Street,4.0,61,99957.31142235124,7.4,3.0,5.4,46.8,5
616,1,855,16.9,5.807,18,Clockwise,Race,3.0,53,103597.16980822766,7.2,3.4,5.2,46.8,3
640,1,856,17.1,5.615,18,Anti clockwise,Race,1.0,55,104766.60364470564,8.0,3.4,6.8,44.8,2
664,1,857,22.6,5.125,16,Clockwise,Race,5.0,60,107768.87819016018,7.6,2.6,7.0,43.4,3
686,1,858,23.5,5.281,16,Anti clockwise,Race,2.0,55,102507.94485682684,4.6,3.0,5.2,53.4,2
707,1,859,20.9,4.309,15,Anti clockwise,Race,4.0,71,105361.63700090916,4.0,3.0,5.6,53.2,3
731,1,860,16.3,5.278,14,Clockwise,Street,1.0,58,97619.41540433042,7.4,2.6,7.0,49.4,2
750,1,861,28.7,5.543,15,Clockwise,Race,1.0,56,96444.1785793467,7.0,2.4,6.0,51.0,3
773,1,862,16.6,5.451,16,Clockwise,Race,7.0,56,110391.41474817786,7.2,2.6,6.6,50.2,3
797,1,863,24.9,5.412,15,Clockwise,Race,2.0,57,112754.6349862731,6.4,2.6,6.0,46.6,3
821,1,864,20.2,4.657,14,Clockwise,Race,24.0,66,111793.29961147245,7.8,2.8,6.8,44.0,2
844,1,865,17.5,3.337,19,Clockwise,Street,3.0,78,114145.84743755942,5.0,2.6,8.2,47.0,1
865,1,866,17.8,4.361,13,Clockwise,Street,2.0,70,110985.55760555234,5.4,2.4,8.2,44.8,2
887,1,869,15.9,4.574,17,Clockwise,Race,7.0,67,91461.50689126663,5.0,2.2,8.2,46.6,3
911,1,870,24.7,4.381,14,Clockwise,Race,1.0,69,87463.69617698091,9.2,2.2,10.8,45.4,2
955,1,872,22.7,5.793,11,Clockwise,Race,1.0,53,84799.3414859054,7.8,2.0,10.2,50.8,1
978,1,873,28.4,4.94,19,Anti clockwise,Street,1.0,59,84577.18488213183,6.4,1.8,7.6,51.2,1
1002,1,874,17.9,5.807,18,Clockwise,Race,9.0,53,91804.70073294768,10.2,1.8,10.6,44.8,2
1024,1,875,17.0,5.615,18,Anti clockwise,Race,3.0,55,96260.93695936275,11.0,1.8,11.6,42.0,3
1045,1,876,21.8,5.125,16,Clockwise,Race,3.0,60,100837.67319312898,8.2,1.8,9.6,45.0,1
1090,1,878,15.5,5.513,20,Anti clockwise,Race,2.0,56,101538.68174385364,8.8,1.6,9.8,43.6,1
1112,1,879,19.2,4.309,15,Anti clockwise,Race,1.0,71,104050.87049048436,8.8,1.6,9.8,44.2,2
1132,1,880,14.0,5.278,14,Clockwise,Street,3.0,58,97941.53042314429,8.0,1.8,6.2,49.0,3
1153,1,881,28.6,5.543,15,Clockwise,Race,4.0,56,96418.2514381085,8.0,2.0,5.0,49.0,4
1174,1,882,17.0,5.451,16,Clockwise,Race,1.0,56,96324.75806148512,6.6,2.2,5.2,45.6,3
1194,1,883,27.7,5.412,15,Clockwise,Race,9.0,57,98754.24925196132,6.4,2.6,5.4,44.0,3
1216,1,884,17.8,4.657,14,Clockwise,Race,2.0,66,98535.60482840243,7.2,3.0,6.6,42.6,4
1237,1,885,13.6,3.337,19,Clockwise,Street,2.0,78,99444.14699364458,5.6,3.4,9.0,45.6,1
1258,1,886,18.5,4.361,13,Clockwise,Street,2.0,70,101901.25539329092,5.4,3.0,8.6,51.8,2
1280,1,888,19.3,5.148,15,Clockwise,Race,1.0,60,96498.41967900521,5.4,2.6,7.2,59.2,3
1301,1,890,28.3,4.381,14,Clockwise,Race,1.0,70,96125.54515519566,5.8,2.6,6.8,60.6,3
1322,1,891,13.9,7.004,19,Clockwise,Race,1.0,44,93359.5002930403,5.0,2.6,5.2,64.8,2
1343,1,892,22.7,5.793,11,Clockwise,Race,12.0,53,97951.98910422911,3.2,2.2,4.0,62.0,2
1363,1,893,29.2,4.94,19,Anti clockwise,Street,5.0,61,94618.7144065997,4.2,2.4,3.6,57.0,2
1385,1,894,22.2,5.615,18,Anti clockwise,Race,2.0,55,102402.79801315707,4.6,2.4,3.8,55.0,2
1407,1,895,16.8,5.807,18,Clockwise,Race,3.0,53,104678.39013436918,4.6,2.2,4.0,54.2,1
1427,1,897,29.5,5.281,16,Anti clockwise,Race,4.0,55,109748.86156294061,8.4,1.8,7.4,41.0,2
1448,1,898,25.3,5.513,20,Anti clockwise,Race,5.0,56,108486.8997447588,9.2,1.8,8.0,42.6,1
1469,1,899,19.2,4.309,15,Anti clockwise,Race,5.0,71,111947.38451564829,8.2,1.6,8.8,42.4,3
1508,1,901,28.1,5.543,15,Clockwise,Race,1.0,56,104177.11076824584,9.0,1.8,10.0,40.8,3
1528,1,902,22.6,5.412,15,Clockwise,Race,2.0,57,103084.0610279861,8.2,2.0,9.2,40.8,2
1550,1,903,14.4,5.451,16,Clockwise,Race,1.0,54,101435.82744402619,4.4,2.2,5.6,50.0,2
1571,1,904,20.6,4.657,14,Clockwise,Race,1.0,66,100503.59770376646,3.2,2.2,4.0,49.0,2
1593,1,905,16.5,3.337,19,Clockwise,Street,2.0,78,97509.61956523832,2.6,2.4,3.6,49.8,1
1612,1,906,21.7,4.361,13,Clockwise,Street,2.0,70,98516.48150095518,1.2,2.0,2.2,46.4,2
1629,1,909,22.6,4.574,17,Clockwise,Race,20.0,67,94437.4675257999,4.4,1.8,3.8,40.6,3
1650,1,910,22.4,4.381,14,Clockwise,Race,22.0,70,90297.45846583656,4.8,2.0,3.6,41.4,2
1671,1,911,10.7,7.004,19,Clockwise,Race,2.0,44,88940.03703726514,5.2,2.0,4.0,40.2,3
1691,1,912,22.0,5.793,11,Clockwise,Race,1.0,53,94298.0426194023,8.8,2.2,5.4,36.0,1
1712,1,913,28.4,4.94,19,Anti clockwise,Street,1.0,60,95359.68969245502,8.6,2.2,5.0,35.0,3
1732,1,914,19.4,5.807,18,Clockwise,Race,2.0,44,101933.35128665794,5.4,2.4,3.4,38.0,3
1754,1,916,15.8,5.513,20,Anti clockwise,Race,2.0,56,115549.55691759416,5.0,2.4,3.4,35.2,2
1770,1,917,20.9,4.309,15,Anti clockwise,Race,2.0,71,117592.60334616558,4.6,2.4,3.4,37.8,3
1788,1,918,24.1,5.281,16,Anti clockwise,Race,2.0,55,109077.90920235535,1.2,2.4,1.6,43.6,2
1808,1,926,14.6,5.278,14,Clockwise,Street,1.0,58,112762.01397079446,1.2,2.6,2.2,47.6,1
1821,1,927,28.6,5.543,15,Clockwise,Race,1.0,56,107760.05477539217,1.2,2.2,2.2,49.8,3
1839,1,928,14.5,5.451,16,Clockwise,Race,1.0,56,98985.92750266488,1.4,2.2,2.4,51.0,2
1857,1,929,25.4,5.412,15,Clockwise,Race,1.0,57,98904.58107409347,1.4,2.2,1.8,47.4,2
1876,1,930,21.2,4.657,14,Clockwise,Race,2.0,66,103702.39451614932,1.2,2.0,2.6,42.6,3
1896,1,931,17.6,3.337,19,Clockwise,Street,1.0,78,100547.73754645234,1.4,2.2,2.0,43.6,2
1915,1,932,13.2,4.361,13,Clockwise,Street,1.0,70,98365.69545980336,1.8,2.4,2.4,42.0,1
